,STATE,DATE,AH_mean,AH_min,AH_max
8568,SC,2022-04-16,10.514241973889126,7.122044399489568,15.208972032052904
8569,SC,2022-04-17,12.997822518422781,9.261933097086413,17.49935905628358
8570,SC,2022-04-18,11.443726303303096,8.468924307175897,16.353023896950575
8571,SC,2022-04-19,5.882236684599037,3.540100827079482,8.132360354837369
8572,SC,2022-04-20,5.876295460456114,4.111738501584794,8.538345885348486
8573,SC,2022-04-21,8.456375245773996,6.516741156656148,11.645169081244013
8574,SC,2022-04-22,10.561146028938966,8.74134084007125,12.24156974772315
8575,SC,2022-04-23,11.796958248172375,9.684250895196648,14.575393071351918
8576,SC,2022-04-24,11.740547954807882,9.202190878428139,14.44642634775619
8577,SC,2022-04-25,12.303115179718368,9.845970039751194,14.718347715637169
8578,SC,2022-04-26,13.831973549518649,10.374058972438908,17.051724908314636
8579,SC,2022-04-27,8.02230494314305,4.8726832799254725,12.79374031173899
8580,SC,2022-04-28,6.7748339863808305,4.6687742803770576,10.066893049693435
8581,SC,2022-04-29,8.81674123409656,6.437368667186118,11.560631935208821
8582,SC,2022-04-30,10.462776541300777,8.584260322653622,12.868554076127333
8583,SC,2022-05-01,12.575906462338816,10.467672658859922,14.890127099053121
8584,SC,2022-05-02,14.591528707280654,11.815844676185419,18.23983780765566
8585,SC,2022-05-03,15.332234234513107,12.22428646140326,18.86633304961
8586,SC,2022-05-04,15.559220154836426,12.551331053083397,19.61878828143526
8587,SC,2022-05-05,14.839148392443489,10.95424228675854,18.176267898278017
8588,SC,2022-05-06,15.946566565185122,13.419715419699632,19.66512731134049
8589,SC,2022-05-07,12.335110454066928,9.03786178326229,14.615466150778168
8590,SC,2022-05-08,9.264933518122447,7.475903613533797,11.09378299441478
8591,SC,2022-05-09,7.201245972398806,6.231959183351759,8.749870904454344
8592,SC,2022-05-10,7.358681731135913,5.588528999834683,8.997743752424043
8593,SC,2022-05-11,7.992822822119684,6.518211392941495,10.352916552430782
8594,SC,2022-05-12,10.695405765990072,8.581145821857811,13.74308190929328
8595,SC,2022-05-13,14.621576550205534,12.242096199960402,17.37151400656019
8596,SC,2022-05-14,14.452107949986535,12.330183632113014,16.779065189800527
8597,SC,2022-05-15,14.787554741452597,12.990501531868933,17.519189925268666
8598,SC,2022-05-16,15.662247939533572,13.472839958523203,19.595216564999884
8599,SC,2022-05-17,11.460029447913941,8.05384661578418,16.734055685021517
8600,SC,2022-05-18,11.544503034673617,9.08834788923102,16.427255241958168
8601,SC,2022-05-19,15.17765895659557,11.57785315887885,20.287356845875486
8602,SC,2022-05-20,15.66973832914664,12.808626576800739,19.54718553074291
8603,SC,2022-05-21,17.282791009386617,13.218564242288656,21.948195097033793
8604,SC,2022-05-22,17.2060899547641,14.753720995370113,19.722841997675197
8605,SC,2022-05-23,17.43787283191924,14.852163662442928,20.84356505128924
8606,SC,2022-05-24,17.06026387713954,14.097404853975807,20.27626322574846
8607,SC,2022-05-25,15.13795790546665,12.460292138636863,19.90328992771259
8608,SC,2022-05-26,16.96048551238981,13.072965102965766,21.72079828911308
8609,SC,2022-05-27,17.527330764865283,13.931000705505934,21.776480329407736
8610,SC,2022-05-28,14.89579267798795,10.575102405229755,19.94501532804698
8611,SC,2022-05-29,15.066683123063568,11.693434511677282,20.162307296577616
8612,SC,2022-05-30,16.52450529647247,11.94429584201483,20.394487625458545
8613,SC,2022-05-31,16.291169720190254,12.243391772589876,20.469042602223908
8614,SC,2022-06-01,16.215042067438723,10.898937676734509,19.90692476705194
8615,SC,2022-06-02,15.980106223029425,11.584939960141881,20.21363523225324
8616,SC,2022-06-03,16.794278094377482,12.417062431081234,21.28112148377794
8617,SC,2022-06-04,15.3794585027794,12.176364788413448,20.55170612226419
8618,SC,2022-06-05,12.846849194365005,8.690431277683263,19.036759780676032
8619,SC,2022-06-06,12.658615202480426,8.495328828793125,17.7813937225221
8620,SC,2022-06-07,15.681378521419155,12.134763074268296,20.06918514766485
8621,SC,2022-06-08,18.567511043139987,16.230568457893416,21.576307881724386
8622,SC,2022-06-09,17.97731121900038,15.022384573307033,22.03463955411812
8623,SC,2022-06-10,13.527481436272106,8.827036684765503,19.870637952152286
8624,SC,2022-06-11,16.30405540033493,11.200652435287582,21.551612763548764
8625,SC,2022-06-12,18.79597046919987,14.23282450871184,23.282785455361317
8626,SC,2022-06-13,19.866927846477203,15.848139706648569,24.565267011726146
8627,SC,2022-06-14,20.424052546452405,16.733069203209936,25.29674020715941
8628,SC,2022-06-15,19.944272305138078,17.821132670720466,23.86741176051143
8629,SC,2022-06-16,18.545647752728907,15.390897763720304,21.204264314203805
8630,SC,2022-06-17,17.919220905089478,15.879523653211347,20.16405874008613
8631,SC,2022-06-18,15.948391880913794,12.739735066693562,19.26013807616923
8632,SC,2022-06-19,9.267769361680152,6.401101302868045,15.331856924033353
8633,SC,2022-06-20,10.476458116606658,7.342359149790172,14.027648950397433
8634,SC,2022-06-21,12.32964112336233,9.277395335498197,15.859183097742507
8635,SC,2022-06-22,13.885658151195209,10.403313624158098,18.465982103978444
8636,SC,2022-06-23,16.171756505535928,13.15518443844601,20.941417907931708
8637,SC,2022-06-24,17.8064915872465,14.580833793415144,21.54615619988833
8638,SC,2022-06-25,16.07162384278214,12.175069706127468,19.489901236551948
8639,SC,2022-06-26,15.510738646766432,11.500989972664055,19.30720158422357
8640,SC,2022-06-27,16.72586171718074,14.095722325281528,18.89785115632654
8641,SC,2022-06-28,17.380810643586013,12.4849006934812,21.915109134980938
8642,SC,2022-06-29,18.944909403704994,15.396172320860884,22.22023916215067
8643,SC,2022-06-30,18.701727509626625,15.458386242771233,21.947138244102405
8644,SC,2022-07-01,19.58774692601914,15.827327881053789,22.199909002554673
8645,SC,2022-07-02,18.909832665651997,16.52545005605384,21.628698328341194
8646,SC,2022-07-03,20.011018806623323,17.387223471628285,26.789074887086965
8647,SC,2022-07-04,20.42523816956208,17.658540220485914,24.395099531585608
8648,SC,2022-07-05,20.75610978108614,17.50678472864449,23.574412666261626
8649,SC,2022-07-06,21.195568358777738,18.343218609707982,25.98822061200869
8650,SC,2022-07-07,20.815217926575016,18.473811126851746,25.558843696797656
8651,SC,2022-07-08,20.75938351575487,18.306728643355324,24.364880363447856
8652,SC,2022-07-09,20.490414777071763,17.95383219332347,23.41586475067622
8653,SC,2022-07-10,20.481090271115185,17.876345079785306,23.608324048537156
8654,SC,2022-07-11,17.970040405303408,14.69926731004397,21.972197428820202
8655,SC,2022-07-12,19.492998733859764,16.384761225511966,23.120064179069818
8656,SC,2022-07-13,20.623595903527708,17.690699835722054,23.558121736435872
8657,SC,2022-07-14,19.91963213323581,16.84918967126174,23.953821839239037
8658,SC,2022-07-15,19.194351558398818,15.325950183836872,22.041459868960214
8659,SC,2022-07-16,19.132190068433758,16.546055822521648,22.85745180929736
8660,SC,2022-07-17,19.167162294890005,15.560591893486142,25.66063707955695
8661,SC,2022-07-18,19.776703337850044,17.0390307260743,25.35046363752361
8662,SC,2022-07-19,20.219882865422804,17.457167519720986,27.207248682237932
8663,SC,2022-07-20,19.69682418206832,17.522739197139135,24.73077179698859
8664,SC,2022-07-21,20.567910435793262,18.43342477055984,25.276874556161193
8665,SC,2022-07-22,21.131030200668597,18.32072483016787,24.279048036338864
8666,SC,2022-07-23,19.868778175985984,17.816209514384663,21.96318908540135
8667,SC,2022-07-24,19.92997043956917,16.669509648733847,22.91336973215284
8668,SC,2022-07-25,19.81853015911541,17.738381967852757,22.830554021202115
8669,SC,2022-07-26,20.488713280168813,17.952456087822156,28.53610877024673
8670,SC,2022-07-27,20.20495864323639,18.007283191588986,28.261755695269716
8671,SC,2022-07-28,20.240937241448567,17.468246058475277,27.724948876189526
8672,SC,2022-07-29,20.61971127151482,17.581643303084352,27.349015757556902
8673,SC,2022-07-30,20.771787269421996,17.98244688689725,26.110702983285634
8674,SC,2022-07-31,20.1326526370245,17.852300776406498,26.625062425569936
8675,SC,2022-08-01,18.968214472305537,16.405584812712725,23.678806816848077
8676,SC,2022-08-02,18.798663970576655,15.95796071768889,25.21294014177574
8677,SC,2022-08-03,19.94869308851467,16.45319370166337,25.144754140537156
8678,SC,2022-08-04,19.386972178606136,16.414734785531785,23.644503755030883
8679,SC,2022-08-05,20.048850454567653,17.951539588879307,23.983650050072104
8680,SD,2022-01-01,0.6686388621516796,0.4357073884603538,0.9149505709498025
8681,SD,2022-01-02,0.981450850652291,0.6086490639696844,1.400045030891143
8682,SD,2022-01-03,2.0691481258469353,1.5670835031239263,2.5489027544326213
8683,SD,2022-01-04,2.266778339691665,1.4945073497599781,3.1650684653142225
8684,SD,2022-01-05,0.9389316064760785,0.518324865663061,1.3564239665889062
8685,SD,2022-01-06,0.617409367201051,0.4642889226117867,0.7568089766182604
8686,SD,2022-01-07,1.250118204954103,0.5721000807175288,2.7949455558603193
8687,SD,2022-01-08,2.500588301354873,1.838253902988933,3.609384095473597
8688,SD,2022-01-09,1.3136690964642326,0.8281173598085066,2.182660227042791
8689,SD,2022-01-10,1.565799847402468,0.8231665534792494,2.5923651887974404
8690,SD,2022-01-11,2.3977172515468443,1.6157077190849585,3.1576964983263287
8691,SD,2022-01-12,3.4838418055241647,2.335036660221735,4.346792512220101
8692,SD,2022-01-13,4.196359399176004,3.460952978691156,5.030367995443643
8693,SD,2022-01-14,3.2864658969545593,2.1646511139244438,4.006646885579283
8694,SD,2022-01-15,1.8952284024618733,0.9097161609498784,3.0311666582989076
8695,SD,2022-01-16,3.0633844294283477,2.2882309346849783,3.928906726574553
8696,SD,2022-01-17,3.4992356016533903,2.885971807013404,4.152656779959066
8697,SD,2022-01-18,3.5835772633786465,2.6440620257026612,4.552332504124996
8698,SD,2022-01-19,1.1191452543882177,0.8433264945645289,1.766863731268725
8699,SD,2022-01-20,0.9409093733156907,0.619684680713672,1.4367247145758668
8700,SD,2022-01-21,2.154090521345978,1.2272413040806904,3.792844894535899
8701,SD,2022-01-22,2.5915821306544102,1.5511464382279585,3.3338184596104763
8702,SD,2022-01-23,2.6475648844281774,1.0410972770524765,4.3039932936286345
8703,SD,2022-01-24,2.6730152444523076,1.1158456589903005,3.773629371779594
8704,SD,2022-01-25,1.3555182586819081,0.571208933346004,2.837446834998083
8705,SD,2022-01-26,1.7582716535137126,1.2409195664041186,2.5549669348782342
8706,SD,2022-01-27,2.9577013359523248,2.0630400869774386,3.587079278364123
8707,SD,2022-01-28,1.8943450336740262,1.1643498659175486,2.8479525300046014
8708,SD,2022-01-29,2.3076662014902034,1.0770486048280652,2.8741353436318127
8709,SD,2022-01-30,2.2656809317271676,1.3705385423269643,2.9481439720439053
8710,SD,2022-01-31,2.6227591621447135,1.7269755177069175,3.348541619535558
8711,SD,2022-02-01,1.9939093233172052,1.4749208888557017,2.510498616598625
8712,SD,2022-02-02,0.9121793816016219,0.7109297234014934,1.1466979734291536
8713,SD,2022-02-03,0.8783579123585064,0.5543014057394761,1.1663987809234957
8714,SD,2022-02-04,1.2771270307114841,0.8522980536870806,1.9313229425131253
8715,SD,2022-02-05,1.8958719531724968,1.2771176538112317,2.854358704952595
8716,SD,2022-02-06,2.971657288687668,1.9878769468355706,3.584447364505093
8717,SD,2022-02-07,2.425770080025593,1.6584363343413433,2.9072179012108497
8718,SD,2022-02-08,2.9225518869139018,1.9466190292200112,4.326527767949569
8719,SD,2022-02-09,3.3927357860038505,2.343022237769255,4.349015360225353
8720,SD,2022-02-10,3.691084327998924,3.050516007835254,4.484753554545424
8721,SD,2022-02-11,3.1244096228161884,2.2605911360741673,3.9952828151712496
8722,SD,2022-02-12,1.475712876770666,0.8871625306477248,2.3787874014130144
8723,SD,2022-02-13,1.6468957184966342,1.0419961412632215,2.4419845598875085
8724,SD,2022-02-14,2.147718460551407,1.508705272745502,3.156143601661708
8725,SD,2022-02-15,2.3498396749523995,1.8272626956391298,3.150353729469139
8726,SD,2022-02-16,2.6024046087895036,2.1365639798426317,3.336715402848829
8727,SD,2022-02-17,1.2816588368196775,1.0110877781610028,1.933510341114342
8728,SD,2022-02-18,2.626345977810278,1.9117861052428125,3.5654772479944468
8729,SD,2022-02-19,1.919689637262376,1.2453464117419812,3.3983640186237096
8730,SD,2022-02-20,2.98381032481246,2.4989972351843925,3.7313226755494777
8731,SD,2022-02-21,1.4336161988284444,0.9298735629801551,2.4619177751354884
8732,SD,2022-02-22,0.8038441377080945,0.5823571645293637,1.1893479155374624
