OBJECTID,DATE,Count_
161,2020/08/20 14:00:00+00,13785
162,2020/08/21 14:00:00+00,13823
163,2020/08/22 14:00:00+00,13864
164,2020/08/23 14:00:00+00,13956
165,2020/08/24 14:00:00+00,14007
166,2020/08/25 14:00:00+00,14051
167,2020/08/26 14:00:00+00,14090
168,2020/08/27 14:00:00+00,14141
169,2020/08/28 14:00:00+00,14184
170,2020/08/29 14:00:00+00,14217
171,2020/08/30 14:00:00+00,14255
172,2020/08/31 14:00:00+00,14303
173,2020/09/01 14:00:00+00,14337
174,2020/09/02 14:00:00+00,14351
175,2020/09/03 14:00:00+00,14427
176,2020/09/04 14:00:00+00,14473
177,2020/09/05 14:00:00+00,14516
178,2020/09/06 14:00:00+00,14573
179,2020/09/07 14:00:00+00,14603
180,2020/09/08 14:00:00+00,14636
181,2020/09/09 14:00:00+00,14672
182,2020/09/10 14:00:00+00,14706
183,2020/09/11 14:00:00+00,14756
184,2020/09/12 14:00:00+00,14796
185,2020/09/13 14:00:00+00,14851
186,2020/09/14 14:00:00+00,14884
187,2020/09/15 14:00:00+00,14918
188,2020/09/16 14:00:00+00,14959
189,2020/09/17 14:00:00+00,15008
190,2020/09/18 14:00:00+00,15070
191,2020/09/19 14:00:00+00,15119
192,2020/09/20 14:00:00+00,15119
193,2020/09/21 14:00:00+00,15171
194,2020/09/22 14:00:00+00,15237
195,2020/09/23 14:00:00+00,15268
196,2020/09/24 14:00:00+00,15299
197,2020/09/25 14:00:00+00,15328
198,2020/09/26 14:00:00+00,15382
199,2020/09/27 14:00:00+00,15398
200,2020/09/28 14:00:00+00,15428
201,2020/09/29 14:00:00+00,15460
202,2020/09/30 14:00:00+00,15530
203,2020/10/01 14:00:00+00,15542
204,2020/10/02 14:00:00+00,15574
205,2020/10/03 14:00:00+00,15670
206,2020/10/04 14:00:00+00,15705
207,2020/10/05 14:00:00+00,15745
208,2020/10/06 14:00:00+00,15791
209,2020/10/07 14:00:00+00,15843
210,2020/10/08 14:00:00+00,15898
211,2020/10/09 14:00:00+00,15956
212,2020/10/10 14:00:00+00,16006
213,2020/10/11 14:00:00+00,16058
214,2020/10/12 14:00:00+00,16107
215,2020/10/13 14:00:00+00,16150
216,2020/10/14 14:00:00+00,16215
217,2020/10/15 14:00:00+00,16255
218,2020/10/16 14:00:00+00,16288
219,2020/10/17 14:00:00+00,16352
220,2020/10/18 14:00:00+00,16435
221,2020/10/19 14:00:00+00,16475
222,2020/10/20 14:00:00+00,16516
223,2020/10/21 14:00:00+00,16549
224,2020/10/22 14:00:00+00,16603
225,2020/10/23 14:00:00+00,16650
226,2020/10/24 14:00:00+00,16705
227,2020/10/25 14:00:00+00,16757
